TH,217802
HE,203910
IN,138094
ER,130711
AN,118819
RE,95834
HA,90474
ND,89851
ED,84390
ES,82945
AT,80691
TO,78555
EN,77139
ON,76259
OU,76230
ST,73072
EA,72213
NG,71964
HI,71807
NT,71361
IT,64421
AS,64296
IS,60968
OR,57720
TE,55808
ET,55414
TI,54135
SE,53146
AR,52532
OF,48977
LE,48863
SA,48246
AL,46529
NE,44810
NO,44728
VE,44667
ME,44172
SH,43922
RO,43859
OT,41997
EL,40269
DE,40018
TT,40015
TA,39809
LL,39703
WA,39144
SO,38027
RI,37644
HO,37263
SI,36560
WH,35668
SS,35656
RA,35237
BE,34809
OM,34562
AD,34537
EW,34457
DI,33803
DT,33748
LI,33262
EE,33039
UT,32203
CO,31937
EM,31747
MA,31738
OW,31730
EC,31340
RS,30699
LY,30680
WI,30639
CE,30481
CH,30189
DA,29660
NA,28785
RT,28432
YO,27490
LA,27054
DO,26829
AI,26815
US,26323
TS,26176
LO,26125
NS,26048
IM,25872
EI,25766
ID,25493
FO,25225
UR,25167
EH,25015
GH,24943
OO,24726
NC,24561
IL,24021
IC,23923
NI,23731
OS,23181
PE,23099
UN,23066
UL,22251
LD,22143
EO,21983
EF,21811
WE,21537
DS,21460
MO,21233
FT,21054
AC,21043
CA,20643
HT,20260
IO,20127
EP,19636
OL,19588
TR,19556
GA,19375
KE,19202
DH,18351
IE,18052
TW,18035
GE,17884
EV,17863
AM,17770
MI,17467
IR,17036
PR,16926
RY,16800
AY,16798
FA,16699
BU,16372
WO,16179
FI,15542
SW,15491
EB,15482
EY,15460
SP,14911
GO,14836
AV,14728
PO,14727
YA,14475
SU,14436
AP,14239
IG,14228
FR,14188
PA,14186
YT,14125
RD,14064
FE,13997
AB,13947
OV,13310
TL,13309
OD,13223
DB,12896
GT,12545
BO,12488
DR,12459
AG,12334
YS,12258
DW,12178
RR,12158
BL,12000
TU,11976
VI,11913
SC,11862
NH,11848
IF,11710
CT,11594
TY,11499
EG,11422
DN,11347
GI,11001
UG,10702
OP,10666
LT,10661
